Model,Term,Term_label,Estimate,Est.Error,Lower,Upper,Significant
Step 2 (MPD),mpd_sc,Snail MPD,-0.042342939150375,0.18273325548053518,-0.3923204249999999,0.3200071500000001,FALSE
Step 2 (MPD),birdRichness_sc,Bird richness,0.1287518960079,0.18512442861688228,-0.23368729999999993,0.483453575,FALSE
Step 2 (MPD),shellDim_sc,Shell size,0.94814689744575,0.5949872238862354,-0.2041956499999998,2.1057787500000007,FALSE
Step 2 (MPD),relativeMass_sc,Relative mass,0.796243597234125,0.6670299692705578,-0.49738037499999943,2.0905337500000005,FALSE
Step 2 (MPD),relativeRatio_sc,relativeRatio_sc,1.02961355800475,0.7036046728300502,-0.43338952500000005,2.3269470000000005,FALSE
Step 1 phylogenetic (snail richness),Intercept,Intercept,3.1251792095,0.6243422825024797,1.9312770000000004,4.405987499999999,TRUE
Step 1 phylogenetic (snail richness),bio12_sc,Annual precipitation,0.74362750675,0.14883279731192778,0.4603006500000001,1.0428965000000001,TRUE
Step 1 phylogenetic (snail richness),elev_sc,Elevation,0.6151385435,0.10509065190120558,0.4174173250000001,0.8247332000000002,TRUE
Step 1 phylogenetic (snail richness),snailRichness_sc,Snail richness,-1.36943417125,0.1375338734077302,-1.6457505,-1.1086975,TRUE
Step 1 phylogenetic (snail richness),birdRichness_sc,Bird richness,-0.15345152340335,0.09460786485795342,-0.34713665,0.028795057500000006,FALSE
Step 1 phylogenetic (snail richness),shellDim_sc,Shell size,-1.541652733625,0.37144316429586655,-2.2634762499999996,-0.7840543499999998,TRUE
Step 1 phylogenetic (snail richness),relativeMass_sc,Relative mass,-1.3517980864095,0.4678783880383221,-2.33736625,-0.4588920249999999,TRUE
Step 1 phylogenetic (snail richness),relativeRatio_sc,relativeRatio_sc,0.73233573909175,0.5350452782015203,-0.3353205499999995,1.774683,FALSE
Step 1 phylogenetic (snail richness),n_sc,Collection sample size,-0.76284153750000006,0.09560594222708846,-0.9533001249999999,-0.5810519749999999,TRUE
Step 2 phylogenetic (snail richness),Intercept,Intercept,-0.062835855128,0.5990756339015622,-1.2373357499999997,1.1613137500000001,FALSE
Step 2 phylogenetic (snail richness),bio12_sc,Annual precipitation,0.3754490195425,0.13143321734663568,0.122329825,0.6276811000000001,TRUE
Step 2 phylogenetic (snail richness),elev_sc,Elevation,-0.111817040916375,0.06617274450787382,-0.23501305,0.018738392500000006,FALSE
Step 2 phylogenetic (snail richness),snailRichness_sc,Snail richness,-0.2582996371205,0.1057724186580644,-0.471858875,-0.05377223499999995,TRUE
Step 2 phylogenetic (snail richness),birdRichness_sc,Bird richness,-0.021293342238215,0.06587601589603924,-0.15521607499999998,0.10444925,FALSE
Step 2 phylogenetic (snail richness),shellDim_sc,Shell size,0.98287672816225,0.5133555387803066,-0.016261419999999204,1.9848127500000001,FALSE
Step 2 phylogenetic (snail richness),relativeMass_sc,Relative mass,0.82016504926475,0.6413716715389511,-0.4596021249999998,2.0634502500000003,FALSE
Step 2 phylogenetic (snail richness),relativeRatio_sc,relativeRatio_sc,0.98472180316975,0.7365842103193151,-0.4933943249999998,2.3554885,FALSE
Step 1 phylogenetic (MPD),Intercept,Intercept,3.10480256825,0.7387192778106635,1.7109509999999999,4.585033,TRUE
Step 1 phylogenetic (MPD),bio12_sc,Annual precipitation,0.12658948657225,0.15678403316940365,-0.18023015,0.43810220000000005,FALSE
Step 1 phylogenetic (MPD),elev_sc,Elevation,0.372682871225,0.11359354069660062,0.160340225,0.6044654,TRUE
Step 1 phylogenetic (MPD),mpd_sc,Snail MPD,-1.37824294075,0.2165380167644987,-1.8276432499999997,-0.972515975,TRUE
Step 1 phylogenetic (MPD),birdRichness_sc,Bird richness,-0.084452739601675,0.13151529719710048,-0.33706254999999985,0.17259602500000001,FALSE
Step 1 phylogenetic (MPD),shellDim_sc,Shell size,-1.62909356425,0.4179429075779945,-2.4348025,-0.8066070499999993,TRUE
Step 1 phylogenetic (MPD),relativeMass_sc,Relative mass,-1.27750389206575,0.5115298974621831,-2.3066082499999996,-0.29270374999999993,TRUE
Step 1 phylogenetic (MPD),relativeRatio_sc,relativeRatio_sc,0.65102684141075,0.5783345926865091,-0.500946625,1.7484217500000003,FALSE
Step 1 phylogenetic (MPD),n_sc,Collection sample size,-0.8415518915,0.10110723288263072,-1.04264425,-0.650533825,TRUE
Step 2 phylogenetic (MPD),Intercept,Intercept,-0.1680558381915,0.6003568481553428,-1.3473392499999994,1.0115717500000003,FALSE
Step 2 phylogenetic (MPD),bio12_sc,Annual precipitation,0.25481474051475,0.13720670928393683,-0.006366286999999954,0.530025925,FALSE
Step 2 phylogenetic (MPD),elev_sc,Elevation,-0.1868993518845,0.0779665972669342,-0.34192829999999996,-0.03422707499999999,TRUE
Step 2 phylogenetic (MPD),mpd_sc,Snail MPD,-0.0503262111109,0.17982734034206618,-0.4138680249999999,0.30369155000000003,FALSE
Step 2 phylogenetic (MPD),birdRichness_sc,Bird richness,0.125749808593,0.19023568820164904,-0.24193532499999998,0.5082409250000001,FALSE
Step 2 phylogenetic (MPD),shellDim_sc,Shell size,0.99226428623375,0.5163759248534581,-0.03689590749999999,2.03471675,FALSE
Step 2 phylogenetic (MPD),relativeMass_sc,Relative mass,0.774019394911075,0.6440286701398561,-0.4995558499999995,1.9712237500000003,FALSE
Step 2 phylogenetic (MPD),relativeRatio_sc,relativeRatio_sc,0.94304065516305,0.725907711483975,-0.594647525,2.25863475,FALSE
