Model,Term,Term_label,Estimate,Est.Error,Lower,Upper,Significant
Step 1 (snail richness),Intercept,Intercept,2.76407125575,0.6065019672817281,1.6251407500000001,4.00431875,TRUE
Step 1 (snail richness),bio12_sc,Annual precipitation,0.7312350525,0.1490128770303475,0.44622977500000005,1.031697,TRUE
Step 1 (snail richness),elev_sc,Elevation,0.628622953,0.107159743278503,0.42598052500000005,0.83811305,TRUE
Step 1 (snail richness),snailRichness_sc,Snail richness,-1.37259136875,0.1361897351655564,-1.6396935,-1.11508875,TRUE
Step 1 (snail richness),birdRichness_sc,Bird richness,-0.15234136027675,0.09444514391778107,-0.346960825,0.02642667500000002,FALSE
Step 1 (snail richness),shellDim_sc,Shell size,-1.09341809211375,0.461487978238275,-1.9685725,-0.15059879999999995,TRUE
Step 1 (snail richness),relativeMass_sc,Relative mass,-1.2364858348975,0.48878473794987787,-2.21580525,-0.2797336749999994,TRUE
Step 1 (snail richness),relativeRatio_sc,relativeRatio_sc,0.78811648941085,0.5495234257490846,-0.3096918499999995,1.8358735000000004,FALSE
Step 1 (snail richness),n_sc,Collection sample size,-0.75843116425,0.0936948852746719,-0.9474177,-0.5870384249999999,TRUE
Step 2 (snail richness),Intercept,Intercept,-0.181998040439325,0.5507897184891591,-1.2790014999999997,0.91639115,FALSE
Step 2 (snail richness),bio12_sc,Annual precipitation,0.371717056875,0.12961507372183145,0.120309825,0.6244376749999999,TRUE
Step 2 (snail richness),elev_sc,Elevation,-0.1084825952947,0.06414235750061523,-0.23090864999999997,0.01903965,FALSE
Step 2 (snail richness),snailRichness_sc,Snail richness,-0.2567162359775,0.1021101877184803,-0.45121059999999996,-0.05735845249999986,TRUE
Step 2 (snail richness),birdRichness_sc,Bird richness,-0.0239783813063,0.06705367138279013,-0.15801047499999998,0.10162890000000001,FALSE
Step 2 (snail richness),shellDim_sc,Shell size,0.92131624694425,0.6077744360006989,-0.30258622499999993,2.1130637500000002,FALSE
Step 2 (snail richness),relativeMass_sc,Relative mass,0.87810550078375,0.6585978108367794,-0.4659355499999999,2.15780625,FALSE
Step 2 (snail richness),relativeRatio_sc,relativeRatio_sc,1.10394998685,0.7228579843684488,-0.34978459999999967,2.47534175,FALSE
Step 1 (MPD),Intercept,Intercept,2.643249286975,0.6890403526767231,1.30312025,4.05918725,TRUE
Step 1 (MPD),bio12_sc,Annual precipitation,0.0951990291735825,0.15414854403416559,-0.21117884999999992,0.40930515,FALSE
Step 1 (MPD),elev_sc,Elevation,0.3854176713275,0.1137173253674498,0.15762284999999998,0.601350475,TRUE
Step 1 (MPD),mpd_sc,Snail MPD,-1.4262414155,0.22138749281559167,-1.8748904999999998,-1.00105575,TRUE
Step 1 (MPD),birdRichness_sc,Bird richness,-0.078738991794425,0.13403907192011846,-0.3431397999999999,0.18886502500000002,FALSE
Step 1 (MPD),shellDim_sc,Shell size,-1.055407228961,0.5210336819246386,-2.05105025,-0.01126740299999941,TRUE
Step 1 (MPD),relativeMass_sc,Relative mass,-1.1245543603245,0.5349902490629678,-2.2216727499999998,-0.07947270749999992,TRUE
Step 1 (MPD),relativeRatio_sc,relativeRatio_sc,0.7589124025065,0.5646700248042801,-0.39896314999999966,1.83348325,FALSE
Step 1 (MPD),n_sc,Collection sample size,-0.8348878755,0.10208927196514869,-1.0449825000000001,-0.645519625,TRUE
Step 2 (MPD),Intercept,Intercept,-0.269324966209325,0.52646091730593,-1.3191097499999997,0.7726865500000001,FALSE
Step 2 (MPD),bio12_sc,Annual precipitation,0.252107304812875,0.13437910325327923,-0.009139276499999884,0.517938275,FALSE
Step 2 (MPD),elev_sc,Elevation,-0.1840229583583725,0.07821849884626576,-0.33673359999999997,-0.03192934249999999,TRUE
