Model,Term,Term_label,Estimate,Est.Error,Lower,Upper,Significant
Step 2 phylogenetic (MPD),Intercept,Intercept,-0.1680558381915,0.6003568481553428,-1.3473392499999994,1.0115717500000003,FALSE
Step 2 phylogenetic (MPD),bio12_sc,Annual precipitation,0.25481474051475,0.13720670928393683,-0.006366286999999954,0.530025925,FALSE
Step 2 phylogenetic (MPD),elev_sc,Elevation,-0.1868993518845,0.0779665972669342,-0.34192829999999996,-0.03422707499999999,TRUE
Step 2 phylogenetic (MPD),mpd_sc,Snail MPD,-0.0503262111109,0.17982734034206618,-0.4138680249999999,0.30369155000000003,FALSE
Step 2 phylogenetic (MPD),birdRichness_sc,Bird richness,0.125749808593,0.19023568820164904,-0.24193532499999998,0.5082409250000001,FALSE
Step 2 phylogenetic (MPD),shellDim_sc,Shell size,0.99226428623375,0.5163759248534581,-0.03689590749999999,2.03471675,FALSE
Step 2 phylogenetic (MPD),relativeMass_sc,Relative mass,0.774019394911075,0.6440286701398561,-0.4995558499999995,1.9712237500000003,FALSE
Step 2 phylogenetic (MPD),relativeRatio_sc,relativeRatio_sc,0.94304065516305,0.725907711483975,-0.594647525,2.25863475,FALSE
