Model,Term,Term_label,Estimate,Est.Error,Lower,Upper,Significant
Step 1 phylogenetic (MPD),Intercept,Intercept,3.10480256825,0.7387192778106635,1.7109509999999999,4.585033,TRUE
Step 1 phylogenetic (MPD),bio12_sc,Annual precipitation,0.12658948657225,0.15678403316940365,-0.18023015,0.43810220000000005,FALSE
Step 1 phylogenetic (MPD),elev_sc,Elevation,0.372682871225,0.11359354069660062,0.160340225,0.6044654,TRUE
Step 1 phylogenetic (MPD),mpd_sc,Snail MPD,-1.37824294075,0.2165380167644987,-1.8276432499999997,-0.972515975,TRUE
Step 1 phylogenetic (MPD),birdRichness_sc,Bird richness,-0.084452739601675,0.13151529719710048,-0.33706254999999985,0.17259602500000001,FALSE
Step 1 phylogenetic (MPD),shellDim_sc,Shell size,-1.62909356425,0.4179429075779945,-2.4348025,-0.8066070499999993,TRUE
Step 1 phylogenetic (MPD),relativeMass_sc,Relative mass,-1.27750389206575,0.5115298974621831,-2.3066082499999996,-0.29270374999999993,TRUE
Step 1 phylogenetic (MPD),relativeRatio_sc,relativeRatio_sc,0.65102684141075,0.5783345926865091,-0.500946625,1.7484217500000003,FALSE
Step 1 phylogenetic (MPD),n_sc,Collection sample size,-0.8415518915,0.10110723288263072,-1.04264425,-0.650533825,TRUE
