correctedspeciesname,catalognumber,n,dex,sin,%dex,%sin,island,correctedlocality,decimallatitudeUSE,decimallongitudeUSE,coordinateuncertaintyinMetersUSE
Auriculella ambusta,177033,138,,138,0,1,Oahu,Waianae Mountains; North Kaaikukai; South branch above forest fence; Loc. 4 = W460-3. SEE MAP,21.406818,-158.089879,100
Auriculella ambusta,"182748, 182749, 182750",109,0,109,0,1,Oahu,Waianae Mountains; Nanakuli; inland 3-1/2 miles; Loc. 3. SEE MAP,21.406994,-158.102048,100
Auriculella ambusta,20189,40,,40,0,1,Oahu,Waianae Mts.; Mauna Kapu; below Kahuna Mt. (Mauna Kapu),21.4075,-158.1005556,
Auriculella ambusta,"172565, 172566, 172567",10,0,10,0,1,Oahu,Waianae Mountains; Nanakuli Valley; See map. Loc. 28,21.40751666,-158.1001333,
Auriculella ambusta,126728,7,,7,0,1,Oahu,Waianae Mountains; Kaaikukai>Nanakuli; Loc. 1 Map,21.407578,-158.098321,1954
Auriculella ambusta,"172622, 172623",2,0,2,0,1,Oahu,Waianae Mountains; Nanakuli Valley; See map. Loc. 29,21.40763334,-158.0990833,
Auriculella ambusta,"105781, 105782, 105823",14,0,14,0,1,Oahu,Waianae Mts.; Nanakuli (head of); small valley; side of foot of Cathedral Rock; Loc. = W2-2; Colony C,21.408314,-158.101527,100
Auriculella ambusta,"176971, 176972",66,0,66,0,1,Oahu,Waianae Mountains; North Kaaikukai; Loc. 3 = W460-2. SEE MAP,21.40840013,-158.0892329,100
Auriculella ambusta,123401,3,,3,0,1,Oahu,"Waianae Mountains; Above Kaikukai Gulch; Loc. W460A-6 = ""Mauka of Palehua""",21.4087591,-158.0984622,100
Auriculella ambusta,123409,7,,7,0,1,Oahu,"Waianae Mountains; Above Kaikukai Gulch; Loc. W460A-6 = ""Mauka of Palehua""",21.4087591,-158.0984622,100
Auriculella ambusta,123433,7,,7,0,1,Oahu,"Waianae Mountains; Palehua; ""Just North of 'Hole-in-rock""; #2 = Loc. 460A-6",21.4087591,-158.0984622,100
Auriculella ambusta,127990,10,0,10,0,1,Oahu,Waianae Mountains; Nanakuli; Loc. 4 = W5-2b,21.40898805,-158.1002691,100
Auriculella ambusta,176915,16,,16,0,1,Oahu,Waianae Mountains; North Kaaikukai Gulch; north branch. Above forest reserve fence; Loc. 2 = W460-1. SEE MAP,21.408999,-158.088272,100
Auriculella ambusta,"127813, 127814",10,0,10,0,1,Oahu,Waianae Mountains; Nanakuli; Loc. 3 = W5-2,21.40909332,-158.1006689,100
Auriculella ambusta,128086,3,0,3,0,1,Oahu,Waianae Mountains; Nanakuli; Loc. 6C = W5-5b,21.40916046,-158.0993274,100
Auriculella ambusta,"127862, 127863",8,0,8,0,1,Oahu,Waianae Mountains; Nanakuli; Loc. 4 = W5-2a,21.40950624,-158.1006601,100
Auriculella ambusta,"112760, 112761, 112763",10,0,10,0,1,Oahu,Waianae Mts.; Nanakuli; Loc. V; = W2-5a; Kaaikukai Forest Rangers Cabin,21.409581,-158.099247,100
Auriculella ambusta,186867,38,,38,0,1,Oahu,Waianae Mountains; Nanakuli Valley; head of valley,21.40978333,-158.1069167,
Auriculella ambusta,"183330, 183331, 183372",14,0,14,0,1,Oahu,Waianae Mountains; head of Nanakuli Valley; 1/2 mile North of Mauna Kapu; inland 2 miles +/-,21.4098,-158.1017,
Auriculella ambusta,127945,9,0,9,0,1,Oahu,Waianae Mountains; Loc. 3 = W5-3,21.40984631,-158.1003967,100
Auriculella ambusta,"105655, 105693",15,0,15,0,1,Oahu,Waianae Mts.; Nanakuli (head of); 100 feet below ridge; Loc. W2-4,21.410026,-158.103456,1336
Auriculella ambusta,105734,1,0,1,0,1,Oahu,Waianae Mts.; Nanakuli (head of); 300 feet below ridge; Loc. = W2-3; Colony B,21.410026,-158.103456,1336
Auriculella ambusta,59417,57,,57,0,1,Oahu,Waianae Mts.; Kupehau (=S. Palawai); at bottom 2nd valley E. of Green peak,21.41013333,-158.0893333,
Auriculella ambusta,59475,31,,31,0,1,Oahu,"Waianae Mountains; Ewa District; Kupehau (=S. Palawai), 2nd small val. E. of Green Pk., small pocket near bottom, under shallow talus",21.41013333,-158.0893333,
Auriculella ambusta,176877,1,,1,0,1,Oahu,Waianae Mountains; South Palawai Gulch; along trail; Loc. 1 = W425 B-1. SEE MAP,21.410274,-158.088168,100
Auriculella ambusta,128640,2,,2,0,1,Oahu,Waianae Mountains; Kupehau,21.410483,-158.092517,2218
Auriculella ambusta,133773,22,2,20,0.090909091,0.909090909,Oahu,"Waianae Mountains; Pepeolelo Kupehau Tunnel valley, North slope opposite forks",21.410483,-158.092517,2426
Auriculella ambusta,133807,13,5,8,0.384615385,0.615384615,Oahu,"Waianae Mountains; Pepeolelo Kupehau Tunnel valley, North slope, opposite forks",21.410483,-158.092517,2502
Auriculella ambusta,186897,2,,2,0,1,Oahu,Waianae Mountains; Kupehau,21.410483,-158.092517,2218
Auriculella ambusta,133776,9,,9,0,1,Oahu,Waianae Mountains; Pepeolelo Kupehau; first valley south of 2775' hill,21.41048333,-158.0925167,
Auriculella ambusta,"127786, 127787",20,1,19,0.05,0.95,Oahu,Waianae Mountains; Nanakuli; Loc. 2 = W5-6,21.41058694,-158.0995917,100
Auriculella ambusta,186924,34,34,,1,0,Oahu,Waianae Mountains; South of Palikea; main ridge; Loc. 2. SEE MAP,21.411247,-158.099536,200
Auriculella ambusta,186925,34,,34,0,1,Oahu,Waianae Mountains; South of Palikea; main ridge; Loc. 2. SEE MAP,21.411247,-158.099536,200
Auriculella ambusta,"105847, 105848",3,1,2,0.333333333,0.666666667,Oahu,Waianae Mts.; Loc. W450B-2; Colony D=38010-18,21.41140703,-158.0995766,100
Auriculella ambusta,174232,31,,31,0,1,Oahu,Waianae Mountains; Palawai I>II; along upper trail; Loc. 6 = W451 A-f5; See map,21.411493,-158.08615,101
Auriculella ambusta,180934,47,,47,0,1,Oahu,Waianae Mountains; South Palawai Gulch; Loc. 1 = 126823-892,21.41158333,-158.0977667,
Auriculella ambusta,211347,23,15,8,0.652173913,0.347826087,Oahu,Waianae Mountains; North Nanakuli; Hanging Valley,21.4116,-158.1072833,
Auriculella ambusta,183498,8,,8,0,1,Oahu,Waianae Mountains; Head of Nanakuli (North); two gullies North of trail,21.41173334,-158.1034833,
Auriculella ambusta,"128180, 128181",72,6,66,0.083333333,0.916666667,Oahu,Waianae Mountains; Nanakuli; Loc. 4 = W5-7,21.41182101,-158.1006881,100
Auriculella ambusta,123394,35,4,31,0.114285714,0.885714286,Oahu,"Waianae Mountains; Above Palawai Gulch; Loc. W450B-2 = Loc. W5-7, 7a & W450B-2; ""Main Ridge back of Palehua, 1st flat mauka of apex locality""",21.41182101,-158.1006881,100
Auriculella ambusta,"182869, 182870, 182871, 182872, 182899, 182900",654,35,619,0.05351682,0.94648318,Oahu,Waianae Mountains; Nanakuli; North Nanakuli; inland 3-1/2 miles; Loc. 4.; In overhanging valley. SEE MAP,21.411898,-158.100916,100
Auriculella ambusta,177092,33,,33,0,1,Oahu,"Waianae Mountains; South Palawai; north branch, near 3-mile mark; Loc. 7 = W452 B-3. SEE MAP 135076-100",21.411915,-158.089471,100
Auriculella ambusta,33017,25,,25,0,1,Oahu,Waianae Mts.; E; ridge S of Green Peak; head of small valley W of turn W,21.41193333,-158.1030833,
Auriculella ambusta,105878,2,2,,1,0,Oahu,"Waianae Mts.; Green Peak, North of saddle, in front of; Loc. W 450 B-3; Colony E=Loc. 21867-71",21.41215245,-158.0998131,100
Auriculella ambusta,128217,22,6,16,0.272727273,0.727272727,Oahu,Waianae Mountains; Palawai; Loc. 5 = W450 B-3,21.41215245,-158.0998131,100
Auriculella ambusta,"126874, 126876",65,0,65,0,1,Oahu,Waianae Mountains; Palawai; Loc. 6,21.412316,-158.092483,1758
Auriculella ambusta,127748,3,,3,0,1,Oahu,Waianae Mountains; Palawai; Loc. 8 = W451 B-7,21.412316,-158.092483,1758
Auriculella ambusta,24988,4,2,2,0.5,0.5,Oahu,"Waianae Mts.; Green Peak, E slope of",21.41249999,-158.0989833,
Auriculella ambusta,"105952, 105953, 105954",34,1,33,0.029411765,0.970588235,Oahu,Waianae Mountains; 3rd valley North of Saddle; Green Peak; foot of valley leading to top of Green Peak; Loc. W450 B-4; Colony F,21.41292456,-158.0998411,100
Auriculella ambusta,106018,19,3,16,0.157894737,0.842105263,Oahu,Waianae Mountains; 3rd valley North of Saddle; Green Peak; foot of valley leading to top of Green Peak; Loc. W450 B-4; Colony F,21.41292456,-158.0998411,100
Auriculella ambusta,106164,5,2,3,0.4,0.6,Oahu,Waianae Mountains; Colony F & G; Loc. W450 B-4 & 5,21.41292456,-158.0998411,100
Auriculella ambusta,165153,9,2,7,0.222222222,0.777777778,Oahu,Waianae Mountains; North > South Palawai; North slope; Loc. 2 = W451B-3,21.41321016,-158.0942272,100
Auriculella ambusta,174036,23,,23,0,1,Oahu,Waianae Mountains; North Palawai Gulch; Loc. 1 = W451 A-1; See map,21.41338,-158.084063,50
Auriculella ambusta,"106077, 106126",38,5,33,0.131578947,0.868421053,Oahu,Waianae Mountains; Colony G; about 200 feet above F; same valley; =Loc. W450 B-5,21.413428,-158.100251,100
Auriculella ambusta,16650,13,,13,0,1,Oahu,Waianae Mts.; Green Peak,21.413483,-158.101267,
Auriculella ambusta,21876,7,1,6,0.142857143,0.857142857,Oahu,"Waianae Mts.; Green Peak, top of",21.413483,-158.101267,
Auriculella ambusta,"59610, 59611",94,43,51,0.457446809,0.542553191,Oahu,Waianae Mountains; Green Pk; N. edge of ridge W. of Pk. to 1st ridge,21.41348334,-158.1028667,
Auriculella ambusta,106176,5,,5,0,1,Oahu,"Waianae Mountains; Colony H; subvalley, 200 yards North of Colony F; Loc. W450 B-6",21.413531,-158.100155,100
Auriculella ambusta,177216,9,,9,0,1,Oahu,Waianae Mountains; North Palawai; Loc. 11 = W451 A-8. SEE MAP 135076-100,21.413568,-158.092056,50
Auriculella ambusta,174080,11,,11,0,1,Oahu,Waianae Mountains; Palawai II; along trail in a small side gulch; Loc. 2 = W451 A-f2,21.413709,-158.084885,50
Auriculella ambusta,174140,15,,15,0,1,Oahu,"Waianae Mountains; Palawai II; above Loc. 2, under a large rock 20 feet above trail; Loc. 2a = W451 A-f2",21.413709,-158.084885,50
Auriculella ambusta,165163,7,4,3,0.571428571,0.428571429,Oahu,Waianae Mountains; North > South Palawai; North slope; Loc. 3 = W451B-4,21.4137865,-158.095426,100
Auriculella ambusta,127744,6,,6,0,1,Oahu,Waianae Mountains; Palawai; Loc. 7 = W451 B-6,21.41389749,-158.0989335,100
Auriculella ambusta,183861,8,,8,0,1,Oahu,Waianae Mountains; Palawai I>II; Loc. 5 = W451 B-1a. SEE MAP,21.41392,-158.097002,50
Auriculella ambusta,16533,61,2,59,0.032786885,0.967213115,Oahu,"Waianae Mts.; Palikea, under",21.413983,-158.101501,
Auriculella ambusta,165168,2,,2,0,1,Oahu,"Waianae Mountains; North > South Palawai; at steep rise of ridge where some huge rocks are on top of ridge, just below last high peak before Palikea; Loc. 4 = W451B-5; See original label",21.41404877,-158.0967525,100
Auriculella ambusta,174185,4,,4,0,1,Oahu,Waianae Mountains; Palawai I; along trail; Loc. 5 = W451 B-5; See map,21.41404877,-158.0967525,100
Auriculella ambusta,59530,2,1,1,0.5,0.5,Oahu,Waianae Mountains; Green Pk; 2 small valleys in front of Pk,21.414188,-158.099583,1282
Auriculella ambusta,21675,98,5,93,0.051020408,0.948979592,Oahu,Waianae Mts.; Palikea,21.4144,-158.100364,1807
Auriculella ambusta,59505,44,26,18,0.590909091,0.409090909,Oahu,"Waianae Mountains; Green Pk; 2 flats, valley in front of Pk",21.4144,-158.1003639,
Auriculella ambusta,59561,6,3,3,0.5,0.5,Oahu,Waianae Mountains; Green Pk; bottom small valley leading up to peak,21.4144,-158.1003639,
Auriculella ambusta,93313,6,,6,0,1,Oahu,Waianae Mts.; Palikea,21.4144,-158.100364,1807
Auriculella ambusta,164311,2,,2,0,1,Oahu,Waianae Mountains; Palikea,21.4144,-158.100364,1807
Auriculella ambusta,183412,87,,87,0,1,Oahu,Waianae Mountains; Palikea Region. SEE MAP,21.4144,-158.100364,1807
Auriculella ambusta,177745,12,,12,0,1,Oahu,Waianae Mountains; Palawai; Loc. 1 = W452-1. SEE MAP,21.414912,-158.08419,100
Auriculella ambusta,123358,5,,5,0,1,Oahu,"Waianae Mountains; Above Palawai II; Loc. W450A-1a; ""Loc. #6; North of Palikea""",21.415752,-158.100122,1849
Auriculella ambusta,22738,58,1,57,0.017241379,0.982758621,Oahu,Waianae Mts.; Green Peak; 1st gap,21.41596667,-158.0997,
Auriculella ambusta,"183464, 183465",121,6,115,0.049586777,0.950413223,Oahu,Waianae Mountains; Head of Nanakuli Valley,21.416134,-158.090826,1076
Auriculella ambusta,180959,3,,3,0,1,Oahu,Waianae Mountains; Palawai Gulch; Loc. 1 = 126823-892,21.416134,-158.090826,1076
Auriculella ambusta,127378,10,,10,0,1,Oahu,Waianae Mountains; Palawai; Loc. 4 = W450 A-1,21.41651462,-158.0954547,100
Auriculella ambusta,"127725, 127726",49,2,47,0.040816327,0.959183673,Oahu,Waianae Mountains; Palawai; Loc. 6 = W450 A-2 = W453 A-1,21.41680584,-158.0977677,100
Auriculella ambusta,127383,23,3,20,0.130434783,0.869565217,Oahu,Waianae Mountains; Palawai; Loc. 5 = W450 A-2,21.41680584,-158.0977677,100
Auriculella ambusta,165272,3,1,2,0.333333333,0.666666667,Oahu,"Waianae Mountains; North Palawai; south branch; north fork>Halona Palawai slope, north of gap; Loc. 5 = W452A-2",21.4169657,-158.0991809,100
Auriculella ambusta,127371,52,12,40,0.230769231,0.769230769,Oahu,Waianae Mountains; Palawai; Loc. 3 = W450-3,21.41720478,-158.0934381,100
Auriculella ambusta,127345,1,1,,1,0,Oahu,Waianae Mountains; Palawai; Loc. 2 = W450-2,21.41752681,-158.0926887,100
Auriculella ambusta,127490,34,13,21,0.382352941,0.617647059,Oahu,Waianae Mountains; Palawai; Loc. 11 = W450-4,21.41754356,-158.0941573,100
Auriculella ambusta,127316,2,,2,0,1,Oahu,Waianae Mountains; Palawai; Loc. 1 = W450-1; see map,21.417581,-158.091754,50
